Ticker, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
EPZM,2.918,21.373,19.61,18.455,0.395819054147,-0.023,0.05,0.027,-0.00117287098419,49.142,20.592,19.914,19.632,44.831,49.346,46.732,1443101400
ADSK,3.762,48.571,47.05,44.809,0.595693779904,0.289,-1.238,-0.949,0.00614240170032,43.428,50.493,46.69,46.958,35.932,77.823,76.355,1443101400
FNHC,2.664,23.547,22.64,20.883,0.659534534535,0.171,-0.181,-0.01,0.00755300353357,50.35,23.402,22.215,22.996,56.859,44.891,47.26,1443101400
RRD,1.258,16.021,14.8,14.763,0.0294117647059,-0.011,-0.248,-0.259,-0.000743243243243,38.305,16.27,15.392,15.174,25.635,19.425,14.02,1443101400
TAXI,2.422,8.267,8.32,5.845,1.02188274154,0.249,-0.262,-0.012,0.0299278846154,65.019,7.961,7.056,7.652,74.217,87.5,92.632,1443101400
THLD,1.248,5.229,4.7,3.981,0.576121794872,-0.005,0.165,0.16,-0.00106382978723,53.782,4.33,4.605,4.806,62.913,48.673,51.195,1443101400
KS,4.29,22.063,17.78,17.773,0.0016317016317,-0.126,-0.908,-1.034,-0.00708661417323,23.056,22.208,19.918,18.55,19.396,10.156,6.25,1443101400
CHUY,3.275,32.356,28.33,29.081,-0.229312977099,-0.302,-0.001,-0.303,-0.0106600776562,36.141,29.831,30.719,29.748,28.324,5.036,7.38,1443101400
CHDN,9.671,140.649,136.39,130.978,0.559611208768,-0.243,1.033,0.79,-0.00178165554659,51.998,133.069,135.814,136.124,67.929,59.277,51.381,1443101400
CLVS,50.994,120.848,99.86,69.854,0.588422167314,-0.109,6.373,6.264,-0.0010915281394,56.839,86.229,95.351,103.932,68.37,54.56,55.495,1443101400
QUIK,0.785,2.029,1.64,1.244,0.504458598726,-0.009,0.09,0.081,-0.00548780487805,51.472,1.489,1.637,1.726,73.69,33.898,48.498,1443101400
ADI,5.654,58.946,54.0,53.292,0.12522108242,-0.069,-0.427,-0.496,-0.00127777777778,40.182,58.395,56.119,55.536,38.697,23.457,27.194,1443101400
LDRH,4.175,40.389,37.23,36.214,0.243353293413,0.159,-0.639,-0.48,0.00427074939565,40.27,41.289,38.302,39.146,36.114,19.857,35.402,1443101400
KITE,18.635,68.359,60.57,49.724,0.582023074859,0.447,0.296,0.743,0.00737989103517,50.271,63.451,59.041,62.14,64.735,58.897,62.789,1443101400
KEL.TO,1.077,6.429,6.0,5.352,0.601671309192,0.099,-0.184,-0.085,0.0165,48.454,6.769,5.891,6.098,39.902,67.797,71.328,1443101400
OA,5.559,79.015,73.97,73.456,0.0924626731427,-0.365,0.365,0.0,-0.00493443287819,41.286,74.374,76.236,75.278,44.055,9.927,26.746,1443101400
MTSN,0.728,3.155,2.32,2.427,-0.146978021978,-0.055,-0.027,-0.082,-0.0237068965517,31.218,2.871,2.791,2.508,18.022,7.595,11.623,1443101400
LPI,1.913,11.105,9.67,9.192,0.249869315212,-0.046,0.122,0.076,-0.0047569803516,45.745,9.927,10.149,10.106,32.941,21.805,30.702,1443101400
BDI.TO,1.681,9.919,9.6,8.238,0.810232004759,0.256,-0.685,-0.429,0.0266666666667,47.959,12.208,9.079,9.318,45.971,68.156,56.537,1443101400
