symbol,EPS,volume,averageDailyV,float,lastClose,open,lastTrade,lastTradeDate,50DayMA
"NUVA",0.79,851160,794756,49482000,64.20,64.32,64.41,"11/18/2016",63.39
"POT",0.57,5008733,8157200,837838000,17.74,17.64,17.82,"11/18/2016",16.51
"DHRM",-2.26,61913,31569,1999000,1.68,1.70,1.69,"11/18/2016",1.54
"ACST",-0.68,6657,144584,5388000,1.32,1.31,1.31,"11/18/2016",1.48
"MLAB",2.86,33848,10581,2888000,132.10,132.00,131.29,"11/18/2016",121.56
"JET.V",-0.018,0,N/A,N/A,0.085,N/A,0.085,"2/16/2016",0.090
"SLGN",2.57,366200,360647,40756000,49.26,49.24,49.16,"11/18/2016",50.13
"DHR",3.58,3304863,3256140,640792000,79.97,79.94,78.99,"11/18/2016",78.24
"CXDC",1.17,13559,30558,13895000,4.60,4.55,4.55,"11/18/2016",4.46
"FNV.TO",0.34,644853,596808,175031000,78.65,77.71,77.70,"11/18/2016",85.21
"ALS.TO",-0.83,57607,41409,37877000,11.50,11.34,10.97,"11/18/2016",11.00
"GLOG",-0.72,306827,515166,41157000,15.90,15.90,16.00,"11/18/2016",15.81
"HI.V",-0.03,30000,216557,108908000,0.11,0.11,0.11,"11/17/2016",0.11
"ETP",-1.21,2901556,3028600,420454000,38.21,38.39,39.37,"11/18/2016",36.17
"HW",0.64,514468,658225,63701000,20.21,20.19,20.09,"11/18/2016",17.61
"TER",-0.54,2286997,1688180,201143000,24.68,24.59,24.73,"11/18/2016",22.41
"PRE.TO",-17.52,5239155,3037820,N/A,0.64,0.63,0.64,"4/18/2016",0.69
"FDX",6.69,1334442,1571730,245349000,185.08,184.71,187.29,"11/18/2016",175.48
"MGLN",2.86,284391,203098,24355000,66.00,65.95,68.10,"11/18/2016",55.86
"VCI.V",0.33,3,2932,3900000,3.59,3.59,3.59,"11/16/2016",3.59
"PII",3.97,680443,1352440,59282000,85.11,85.24,83.93,"11/18/2016",78.77
"TECD",6.16,518620,574314,34657000,83.84,83.55,83.32,"11/18/2016",80.14
"DCO",-3.70,111487,67778,9520000,25.82,25.71,26.24,"11/18/2016",21.67
"EFUT",-0.06,18039,22945,1388000,6.32,6.27,6.27,"11/18/2016",6.16
"NXX.V",-0.130,12000,144105,N/A,0.245,0.245,0.245,"8/17/2016",0.204
"SVLC",0.0090,0,217902,N/A,0.8607,N/A,0.8607,"10/1/2015",0.9057
"BEAT",0.52,186822,330242,27460000,18.80,18.75,19.00,"11/18/2016",18.36
"TNT-UN.TO",0.63,68134,95427,N/A,6.30,6.28,6.30,"11/18/2016",6.40
"ULTA",5.68,468809,1015920,56059000,251.13,251.05,250.09,"11/18/2016",243.69
"RLC.TO",0.03,19200,55073,N/A,N/A,N/A,N/A,"10/27/2015",11.97
"EXLP",0.95,0,205226,N/A,N/A,N/A,N/A,"11/3/2015",18.44
"CRRC",-0.46,0,105347,N/A,N/A,N/A,N/A,"6/5/2015",24.39
"NRP",-44.05,116697,121356,5571000,35.10,34.55,33.90,"11/18/2016",30.49
"TIME",-0.90,1191918,849231,99662000,13.60,13.60,13.75,"11/18/2016",13.40
"FP.TO",-3.350,112600,19708,N/A,0.130,0.120,0.115,"11/18/2016",0.137
"CLF",0.20,7133194,10709900,187938000,7.45,7.44,7.41,"11/18/2016",6.07
"BZC",1.97,0,N/A,N/A,19.80,N/A,19.80,"12/31/2015",19.80
"ESS",4.51,457340,405165,65075000,212.69,212.99,212.95,"11/18/2016",213.23
"FSZ.TO",0.34,153089,93772,76354000,11.82,11.94,11.96,"11/18/2016",12.24
"BIO",3.32,157094,142735,12508000,173.76,173.15,170.93,"11/18/2016",163.94
"PMT",0.84,490250,467395,65501000,15.92,15.94,16.07,"11/18/2016",15.25
"GLRI",-1.096,246,595508,10964000,0.045,0.045,0.045,"11/17/2016",0.061
"VMEM",-3.68,153217,363765,12972000,0.14,0.14,0.14,"11/18/2016",0.36
"CLNT",-4.0780,160832,68066,3738000,0.8700,0.9000,0.8001,"11/18/2016",0.8423
"PLX",0.51,105011,121395,69168000,0.49,0.49,0.49,"11/18/2016",0.50
"PEGA",0.46,356076,355327,35825000,34.95,34.95,35.75,"11/18/2016",31.16
"RDEN",-2.49,0,976223,N/A,N/A,N/A,N/A,N/A,13.93
"S",-0.46,16789651,20582000,673750000,7.49,7.53,7.35,"11/18/2016",6.70
"UFS",2.19,437621,479035,62543000,38.32,38.29,38.96,"11/18/2016",36.66
"X",-9.79,16104329,18539400,159790000,29.17,28.92,28.57,"11/18/2016",20.27
"PWC.TO",-0.12,21400,33164,22703000,0.10,0.09,0.10,"11/18/2016",0.13
"FRT",3.68,526889,461894,70862000,137.36,137.32,137.81,"11/18/2016",143.84
"BWEN",-0.73,50139,56198,11423000,4.16,4.16,4.15,"11/18/2016",4.29
"LIME",-1.27,1286,7856,2061000,2.07,2.05,2.10,"11/18/2016",2.07
"IFAN",-0.0330,110980871,56735200,44409000,0.0020,0.0022,0.0013,"11/18/2016",0.0022
"KGL.V",-0.042,240000,170438,46744000,0.110,0.105,0.105,"11/18/2016",0.117
"PVS-PC.TO",N/A,19050,N/A,N/A,24.95,25.10,25.05,"11/18/2016",0.00
"ANAD",-0.26,0,1078110,N/A,N/A,N/A,N/A,"3/15/2016",0.76
"CMCM",-0.06,702279,660849,N/A,10.50,10.56,10.60,"11/18/2016",11.26
"UHAL",23.38,42727,76715,14382000,343.92,343.89,343.73,"11/18/2016",328.80
"NFBK",0.52,355301,112474,41737000,18.30,18.39,18.42,"11/18/2016",16.57
"KOS",-0.53,1497250,1146450,156632000,4.76,4.78,4.90,"11/18/2016",5.66
"SA",-0.14,875507,767323,44373000,9.30,9.10,9.25,"11/18/2016",10.62
"THO.TO",0.04,1286363,1195390,304327000,13.04,12.88,12.64,"11/18/2016",15.00
"BCLI.OB",-0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"TCS",0.11,324879,215963,16882000,5.93,5.98,5.87,"11/18/2016",5.07
"DUK",4.13,4450492,3053510,688320000,73.87,74.09,73.60,"11/18/2016",77.47
"DVCR",-0.37,200,12770,2855000,11.00,11.12,11.31,"11/18/2016",11.45
"MNR",0.38,166316,419400,62149000,13.35,13.32,13.58,"11/18/2016",13.48
"IMH",3.11,187163,109586,9003000,14.13,14.10,14.28,"11/18/2016",14.82
"SVM",-1,0,673650,N/A,N/A,N/A,N/A,N/A,1
"CNO",1.44,2736138,1927990,171357000,17.50,17.53,17.50,"11/18/2016",15.84
"PWRD",1.50,0,630517,N/A,N/A,N/A,N/A,"7/28/2015",19.75
"FNMAN",0.02,200,3034,5738815000,8.76,8.85,8.85,"11/18/2016",5.96
"YOD",-0.30,0,28742,31295000,1.37,N/A,1.37,"11/11/2016",1.45
"FRSH",0.23,219473,136443,10532000,4.57,4.55,4.65,"11/18/2016",5.49
"CFF.TO",2.89,14287,10856,13922000,2.95,2.85,3.00,"11/18/2016",3.16
"CQE.TO",-0.79,43725,214741,142068000,0.26,0.26,0.26,"11/18/2016",0.28
"XYL",1.80,1517031,1262210,178804000,54.01,53.89,53.29,"11/18/2016",50.21
"CODI",0.27,143223,149372,44605000,18.70,18.70,18.70,"11/18/2016",18.07
"OTEL",2.019,25427,12228,2407000,5.450,5.450,5.925,"11/18/2016",4.684
"PLAY",1.85,531522,1038320,38782000,45.33,45.54,45.49,"11/18/2016",41.16
"CPG.TO",-1.59,2127588,2702010,504816000,15.46,15.49,15.49,"11/18/2016",16.60
"SCOR",-0.18,287669,510991,30331000,29.52,29.66,29.82,"11/18/2016",29.25
"WAC",-17.27,144056,336202,14970000,5.65,5.60,5.80,"11/18/2016",5.02
"HGT",0.07,130103,116019,38924000,1.95,1.90,1.90,"11/18/2016",2.25
"ROLL",3.06,93921,91220,22614000,80.56,80.59,80.12,"11/18/2016",74.17
"NSH",1.44,47433,55958,33768000,24.70,24.80,25.70,"11/18/2016",24.74
"NORD",0.14,34606,86205,33435000,24.18,24.09,23.77,"11/18/2016",22.02
"SSBI",1.0500,3354,6742,3368000,13.7000,13.7500,13.8196,"11/18/2016",13.4571
