Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
GTU,Central Gold Trust Ordinary Sha,ASE,-4.1450,None,0.1000,40.8180,None,737.57M,43280,46.7300,37.2800,38.2201
FNFG,First Niagara Financial Group I,NMS,0.60,17.78,1.70,10.83,0.32,3.75B,5508200,11.22,7.42,10.67
OSIS,OSI Systems Inc.,NMS,3.1510,30.3206,4.1300,28.5950,None,1.88B,134929,96.1300,66.0300,95.5401
MLF-UN.TO,MONEDA LATAM FIXED INCOME FD,TOR,None,9.97,0.00,0.00,None,64.10M,None,8.99,7.62,7.88
SPB,Spectrum Brands Holdings Inc.,NYQ,3.1430,30.4860,6.1800,27.3560,1.3200,5.70B,259588,106.5500,86.0200,95.8175
ED,Consolidated Edison Inc. Commo,NYQ,3.73,16.90,8.34,44.49,2.60,18.49B,2118830,72.25,56.86,63.05
LDL,Lydall Inc. Common Stock,NYQ,2.73,13.22,5.01,14.21,None,614.67M,80348,38.86,25.28,36.07
MLHR,Herman Miller Inc.,NMS,1.76,17.55,2.83,7.55,0.59,1.85B,497897,32.71,26.27,30.89
USAT,USA Technologies Inc.,NGM,-0.05,None,7.68,1.42,None,104.80M,215671,3.52,1.42,2.92
UTI,Universal Technical Institute I,NYQ,0.09,59.00,6.09,5.11,0.08,128.17M,88151,11.40,3.42,5.31
AKAM,Akamai Technologies Inc.,NMS,1.82,31.15,1.68,17.31,None,10.09B,2177780,78.44,55.36,56.70
GIII,G-III Apparel Group LTD.,NMS,2.64,17.26,6.26,17.36,None,2.06B,467083,73.93,40.41,45.61
FB,Facebook Inc.,NMS,1.00,107.83,1.20,14.72,None,303.73B,31433700,110.65,72.00,107.40
MSTR,MicroStrategy Incorporated,NMS,7.76,22.49,3.50,35.95,None,1.98B,127723,226.48,150.01,174.59
UVV,Universal Corporation Common St,NYQ,4.14,13.70,18.83,50.31,2.12,1.29B,185714,58.89,38.98,56.68
CTS,CTS Corporation Common Stock,NYQ,0.82,22.76,5.57,9.05,0.16,609.01M,114003,20.25,15.30,18.66
BERY,Berry Plastics Group Inc. Comm,NYQ,0.70,52.37,2.16,-0.54,None,4.39B,1655510,37.24,26.38,36.66
ENFC,Entegra Financial Corp.,NGM,3.54,5.10,0.42,19.99,None,118.16M,9269,18.84,13.78,18.05
RLYP,Relypsa Inc.,NMS,-3.81,None,2.69,5.47,None,844.66M,1596250,42.26,10.26,20.26
MLNX,Mellanox Technologies Ltd.,NMS,0.96,47.64,2.78,17.27,None,2.13B,602797,52.77,32.24,45.59
ECTE,Echo Therapeutics Inc.,NCM,-2.33,None,21.71,-0.15,None,17.92M,19682,3.00,0.56,1.61
QEP,QEP Resources Inc. Common Stoc,NYQ,3.122,4.736,3.270,22.475,0.080,2.61B,3450410,25.610,11.200,14.785
AHI.V,AGILITY HEALTH INC,VAN,-0.08,None,0.07,-0.12,None,17.24M,38969,0.55,0.18,0.18
NFX,Newfield Exploration Company Co,NYQ,-15.39,None,2.53,12.56,None,6.15B,3695940,41.34,22.31,38.03
PRAA,PRA Group Inc.,NMS,3.54,11.59,46.66,17.91,0.00,1.98B,763260,64.82,32.49,41.06
TOUR,Tuniu Corporation,NGM,-1.9580,None,7.6900,8.2950,None,1.47B,375338,20.8500,10.3300,15.7599
SREV,ServiceSource International In,NMS,-0.57,None,20.92,1.77,None,446.86M,357891,6.15,3.00,5.18
LLY,Eli Lilly and Company Common St,NYQ,2.22,38.08,1.62,14.34,2.00,89.66B,5862150,92.85,66.75,84.47
VRW.V,MEDIAVALET INC.,VAN,-0.05,None,0.00,0.01,None,None,None,None,None,None
BLRX,BioLineRx Ltd.,NCM,-0.33,None,6.09,0.95,None,67.10M,190018,3.28,1.03,1.23
WYNN,Wynn Resorts Limited,NMS,1.92,31.13,2.20,-1.75,2.00,6.04B,4941880,182.45,50.96,59.74
RKUS,Ruckus Wireless Inc. Common St,NYQ,0.05,229.00,4.41,3.35,None,1.02B,1578800,13.50,9.11,11.45
GRPN,Groupon Inc.,NMS,0.11,24.12,8.83,0.96,None,1.69B,10077300,8.43,2.54,2.75
ENTA,Enanta Pharmaceuticals Inc.,NMS,3.55,8.86,7.15,12.20,None,587.59M,362951,52.58,16.75,31.40
PATK,Patrick Industries Inc.,NMS,2.41,16.80,3.06,8.50,0.00,629.90M,156292,48.00,25.91,40.50
PRSS,CafePress Inc.,NMS,0.04,94.29,3.23,4.13,None,67.10M,22412,5.36,1.95,3.96
ROYT,Pacific Coast Oil Trust Units o,NYQ,0.49,3.91,1.53,5.97,0.32,74.47M,136380,9.44,1.92,1.93
RCKY,Rocky Brands Inc.,NMS,1.28,8.87,1.51,18.70,0.44,85.81M,43883,23.11,10.65,11.34
PFNX,Pfenex Inc. Common Stock,ASE,-1.07,None,8.45,3.41,None,331.18M,96132,24.41,6.27,14.22
GRUB,GrubHub Inc. Common Stock,NYQ,0.44,60.11,5.50,10.09,None,2.23B,2698630,47.95,22.49,26.27
